S_no,Tahsil/Taluk,Village,Latitude,Longitude,Date_of_collection,TDS,Nitrates,Ca,Mg,Na,K,Cl,SO4,F,pH,wqi,quality
85,Gudiyatham,Modikuppam,"13°01'50""","78°10'48""",01-07-1982,384.519457,13.17692308,52,29,138,5.964226244,71,121.0057919,0.626930769,7.7,59.63903743,Poor
86,Vellore,Perumugai,"12°56'33""","79°11'49""",01-07-1982,384.519457,13.17692308,92,41,115,5.964226244,167,121.0057919,0.626930769,7.8,61.49888809,Poor
87,Vellore,Karadikudi,"12°50'38""","78°55'49""",01-07-1982,384.519457,13.17692308,40,66,182,5.964226244,188,121.0057919,0.626930769,8.4,65.89218425,Poor
88,Vellore,Pinnathurai,"12°46'43""","78°56'11""",01-07-1982,384.519457,13.17692308,32,33,166,5.964226244,36,121.0057919,0.626930769,8.5,64.46038358,Poor
89,Vellore,Thuthikadu,"12°47'26""","79°05'09""",01-07-1982,384.519457,13.17692308,64,57,48,5.964226244,53,121.0057919,0.626930769,8.2,64.10898528,Poor
90,Vellore,Vallam,"12°45'15""","79°09'18""",01-07-1982,384.519457,13.17692308,44,64,127,5.964226244,177,121.0057919,0.626930769,8.4,65.72317623,Poor
91,Vellore,P.S. Mangalam,"12°55'05""","79°03'00""",01-07-1982,384.519457,13.17692308,60,56,262,5.964226244,347,121.0057919,0.626930769,8.3,65.39366947,Poor
92,Vellore,Asanampattu,"12°42'17""","78°48'58""",01-07-1982,384.519457,13.17692308,36,63,122,5.964226244,110,121.0057919,0.626930769,8.3,64.85768964,Poor
93,Katpadi,Ponnai,"13°07'50""","79°15'35""",01-07-1982,384.519457,13.17692308,116,68,244,5.964226244,433,121.0057919,0.626930769,8.6,68.69190266,Poor
94,Walajahpet,Thalangai,"12°59'40""","79°25'28""",01-07-1982,384.519457,13.17692308,86,50,106,5.964226244,195,121.0057919,0.626930769,7.8,61.8998879,Poor
95,Walajahpet,Sumaithangi,"12°54'10""","79°26'30""",01-07-1982,384.519457,13.17692308,58.75113122,58,242,5.964226244,195,121.0057919,0.626930769,7.9,62.81228447,Poor
96,Walajahpet,Ammur,"12°57'30""","79°17'00""",01-07-1982,384.519457,13.17692308,36,23,120,5.964226244,85,121.0057919,0.626930769,8.5,63.9687663,Poor
97,Arcot,Kaniyanur,"12°48'00""","79°21'25""",01-07-1982,384.519457,13.17692308,182,49,221,5.964226244,479,121.0057919,0.626930769,7.8,63.75225348,Poor
98,Arcot,Damaraipakkam,"12°45'25""","79°18'35""",01-07-1982,384.519457,13.17692308,90,37,83,5.964226244,160,121.0057919,0.626930769,8.2,63.63272294,Poor
99,Walajahpet,Ayilam,"12°52'35""","79°15'45""",01-07-1982,384.519457,13.17692308,52,27,60,5.964226244,57,121.0057919,0.626930769,8.1,61.80607074,Poor
100,Arcot,Varagur,"12°48'40""","79°14'15""",01-07-1982,384.519457,13.17692308,18,40,159,5.964226244,85,121.0057919,0.626930769,8.5,64.67710684,Poor
101,Arakkonam,Mosur,"13°05'02""","79°43'10""",01-07-1982,384.519457,13.17692308,78,38,230,5.964226244,326,121.0057919,0.626930769,8.1,63.40106611,Poor
102,Arakkonam,Poyapakkam,"13°02'23""","79°40'06""",01-07-1982,384.519457,13.17692308,52,22,133,5.964226244,89,121.0057919,0.626930769,7.5,58.06889795,Poor
103,Arakkonam,Vellorepet,"13°08'56""","79°42'17""",01-07-1982,384.519457,13.17692308,44,20,159,5.964226244,64,121.0057919,0.626930769,7.7,59.09394141,Poor
104,Arakkonam,Amirpet,"13°08'29""","79°36'40""",01-07-1982,384.519457,13.17692308,90,26,62,5.964226244,106,121.0057919,0.626930769,7.8,60.51460798,Poor
105,Arakkonam,Narayanamangalam,"13°11'19""","79°39'18""",01-07-1982,384.519457,13.17692308,54,7,25,5.964226244,43,121.0057919,0.626930769,8.3,61.93123873,Poor
106,Walajahpet,Vellore water works,"12°56'30""","79°08'00""",01-07-1982,384.519457,13.17692308,28,15,92,5.964226244,89,121.0057919,0.626930769,8.6,64.00388509,Poor
107,Walajahpet,Ranipet Water Works,"12°55'00""","79°12'00""",01-07-1982,384.519457,13.17692308,42,16,136,5.964226244,124,121.0057919,0.626930769,8.1,61.32864187,Poor
108,Arakkonam,Sayanavaram,"12°58'50""","79°39'00""",01-07-1982,384.519457,13.17692308,86,33,230,5.964226244,266,121.0057919,0.626930769,7.8,61.34793962,Poor
109,Arakkonam,Reddivalam,"12°56'12""","79°35'35""",01-07-1982,384.519457,13.17692308,66,21,131,5.964226244,209,121.0057919,0.626930769,8.3,63.23562222,Poor
110,Arakkonam,Karivedu,"12°53'27""","79°30'50""",01-07-1982,384.519457,13.17692308,60,12,115,5.964226244,149,121.0057919,0.626930769,8.3,62.58029382,Poor
111,Arakkonam,Athipattu,"12°52'43""","79°27'32""",01-07-1982,384.519457,13.17692308,80,10,120,5.964226244,142,121.0057919,0.626930769,7.4,57.26458918,Poor
112,Vellore,Pennathur,"12°50'40""","79°06'40""",01-12-1982,384.519457,13.17692308,110,66,60,5.964226244,199,121.0057919,0.626930769,8.1,64.80661766,Poor
113,Walajahpet,Lalapet,"12°58'00""","79°03'00""",01-12-1982,384.519457,13.17692308,58.75113122,73,359,5.964226244,189.0329095,121.0057919,0.626930769,7.7,62.59011974,Poor
114,Gudiyatham,Gudiyatham,"12°56'40""","78°52'10""",01-12-1982,384.519457,13.17692308,66,6,143,5.964226244,117,121.0057919,0.626930769,8.9,66.02648317,Poor
115,Katpadi,Arumparuthi,"12°58'05""","79°12'25""",01-12-1982,384.519457,13.17692308,58.75113122,44,186.7503982,5.964226244,189.0329095,121.0057919,0.626930769,7.9,61.9716044,Poor
116,Katpadi,Vaduganthangal,"12°58'10""","79°04'10""",01-12-1982,384.519457,13.17692308,58.75113122,44,186.7503982,5.964226244,189.0329095,121.0057919,0.626930769,7.9,61.9716044,Poor
117,Arakkonam,Sendamangalam,"12°29'00""","78°34'20""",01-12-1982,384.519457,13.17692308,68,7,76,5.964226244,99,121.0057919,0.626930769,8.7,64.73342387,Poor
118,Arakkonam,Kilveeranam,"12°59'51""","79°28'25""",01-12-1982,384.519457,13.17692308,26,15,71,5.964226244,57,121.0057919,0.626930769,8.8,65.11548478,Poor
119,Vellore,Guruvarajapalayam,"12°47'35""","78°53'00""",01-12-1982,384.519457,13.17692308,42,39,69,5.964226244,82,121.0057919,0.626930769,8.5,64.7783613,Poor
120,Gudiyatham,Pallalakuppam,"12°53'20""","78°46'00""",01-12-1982,384.519457,13.17692308,54,26,67,5.964226244,64,121.0057919,0.626930769,8.6,64.85393694,Poor
121,Vellore,Pallikonda,"12°54'05""","78°56'30""",01-12-1982,384.519457,13.17692308,76,68,106,5.964226244,262,121.0057919,0.626930769,8.3,65.8279628,Poor
122,Gudiyatham,Kallapadi,"12°59'45""","78°54'40""",01-12-1982,384.519457,13.17692308,54,26,67,5.964226244,64,121.0057919,0.626930769,8.6,64.85393694,Poor
123,Gudiyatham,Modikuppam,"13°01'50""","78°10'48""",01-12-1982,384.519457,13.17692308,54,21,163,5.964226244,89,121.0057919,0.626930769,8.4,63.59256394,Poor
124,Vellore,Perumugai,"12°56'33""","79°11'49""",01-12-1982,384.519457,13.17692308,58,35,108,5.964226244,160,121.0057919,0.626930769,8.3,63.74516944,Poor
125,Vellore,Karadikudi,"12°50'38""","78°55'49""",01-12-1982,384.519457,13.17692308,54,68,212,5.964226244,223,121.0057919,0.626930769,8.4,66.29130898,Poor
126,Vellore,Usur,"12°51'54""","79°03'43""",01-12-1982,384.519457,13.17692308,52,56,386,5.964226244,326,121.0057919,0.626930769,7.9,63.05822437,Poor
127,Vellore,Vallam,"12°45'15""","79°09'18""",01-12-1982,384.519457,13.17692308,56,88,150,5.964226244,248,121.0057919,0.626930769,8.5,67.87638659,Poor
128,Vellore,P.S. Mangalam,"12°55'05""","79°03'00""",01-12-1982,384.519457,13.17692308,90,33,202,5.964226244,284,121.0057919,0.626930769,8.6,66.25078706,Poor
129,Vellore,Asanampattu,"12°42'17""","78°48'58""",01-12-1982,384.519457,13.17692308,68,46,122,5.964226244,110,121.0057919,0.626930769,8.3,64.41873022,Poor
130,Katpadi,Ponnai,"13°07'50""","79°15'35""",01-12-1982,384.519457,13.17692308,160,56,285,5.964226244,496,121.0057919,0.626930769,8.4,67.61628381,Poor
131,Walajahpet,Neelakandaroyarpettai,"13°02'20""","79°22'05""",01-12-1982,384.519457,13.17692308,104,88,186.7503982,5.964226244,189.0329095,121.0057919,0.626930769,8.5,68.53808836,Poor
132,Walajahpet,Thalangai,"12°59'40""","79°25'28""",01-12-1982,384.519457,13.17692308,140,37,115,5.964226244,206,121.0057919,0.626930769,7.8,62.00365687,Poor
133,Walajahpet,Sumaithangi,"12°54'10""","79°26'30""",01-12-1982,384.519457,13.17692308,120,49,253,5.964226244,189.0329095,121.0057919,0.626930769,8.3,65.64622443,Poor
134,Walajahpet,Ammur,"12°57'30""","79°17'00""",01-12-1982,384.519457,13.17692308,80,24,115,5.964226244,82,121.0057919,0.626930769,7.8,60.34584191,Poor
135,Arcot,Melapalandai,"12°39'30""","79°23'42""",01-12-1982,384.519457,13.17692308,42,35,163,5.964226244,181,121.0057919,0.626930769,8.5,64.87691979,Poor
136,Arcot,Kalavai,"12°46'00""","79°23'05""",01-12-1982,384.519457,13.17692308,58.75113122,102,193,5.964226244,189.0329095,121.0057919,0.626930769,7.6,63.16095507,Poor
137,Arcot,Kaniyanur,"12°48'00""","79°21'25""",01-12-1982,384.519457,13.17692308,102,39,258,5.964226244,429,121.0057919,0.626930769,8.2,64.57727203,Poor
138,Arcot,Damaraipakkam,"12°45'25""","79°18'35""",01-12-1982,384.519457,13.17692308,42,37,101,5.964226244,152,121.0057919,0.626930769,8.7,66.04388194,Poor
139,Walajahpet,Ayilam,"12°52'35""","79°15'45""",01-12-1982,384.519457,13.17692308,28,26,60,5.964226244,50,121.0057919,0.626930769,9,66.90323753,Poor
140,Arakkonam,Mosur,"13°05'02""","79°43'10""",01-12-1982,384.519457,13.17692308,100,56,446,5.964226244,189.0329095,121.0057919,0.626930769,8.4,66.71781456,Poor
141,Arakkonam,Poyapakkam,"13°02'23""","79°40'06""",01-12-1982,384.519457,13.17692308,46,11,156,5.964226244,85,121.0057919,0.626930769,8.3,62.33496907,Poor
142,Arakkonam,Vellorepet,"13°08'56""","79°42'17""",01-12-1982,384.519457,13.17692308,90,34,281,5.964226244,213,121.0057919,0.626930769,7.8,61.48829431,Poor
143,Arakkonam,Amirpet,"13°08'29""","79°36'40""",01-12-1982,384.519457,13.17692308,68,35,108,5.964226244,181,121.0057919,0.626930769,8.4,64.51950282,Poor
144,Arakkonam,Narayanamangalam,"13°11'19""","79°39'18""",01-12-1982,384.519457,13.17692308,42,4,37,5.964226244,46,121.0057919,0.626930769,8.5,62.85675591,Poor
145,Walajahpet,Vellore water works,"12°56'30""","79°08'00""",01-12-1982,384.519457,13.17692308,52,13,92,5.964226244,103,121.0057919,0.626930769,8.8,65.46932237,Poor
146,Walajahpet,Ranipet Water Works,"12°55'00""","79°12'00""",01-12-1982,384.519457,13.17692308,40,11,131,5.964226244,113,121.0057919,0.626930769,8,60.40840633,Poor
147,Arakkonam,Sayanavaram,"12°58'50""","79°39'00""",01-12-1982,384.519457,13.17692308,36,33,288,5.964226244,323,121.0057919,0.626930769,8.6,65.71993995,Poor
148,Arakkonam,Reddivalam,"12°56'12""","79°35'35""",01-12-1982,384.519457,13.17692308,104,30,191,5.964226244,262,121.0057919,0.626930769,8.9,68.06989115,Poor
149,Arakkonam,Karivedu,"12°53'27""","79°30'50""",01-12-1982,384.519457,13.17692308,66,21,150,5.964226244,241,121.0057919,0.626930769,8.5,64.53227615,Poor
150,Arakkonam,Athipattu,"12°52'43""","79°27'32""",01-12-1982,384.519457,13.17692308,52,17,117,5.964226244,142,121.0057919,0.626930769,8.8,65.77383752,Poor
