,vellore,Latitude,Longitude,Date,TDS,Nitrates,Ca,Mg,Na,K,Cl,SO4,F,pH,wqi,quality
140,,"13°05'02""","79°43'10""",21-05-2010,384.519457,13.17692308,100,56,446,5.964226244,189.0329095,121.0057919,0.626930769,8.4,66.71781456,Poor
141,,"13°02'23""","79°40'06""",22-05-2010,384.519457,13.17692308,46,11,156,5.964226244,85,121.0057919,0.626930769,8.3,62.33496907,Poor
142,,"13°08'56""","79°42'17""",23-05-2010,384.519457,13.17692308,90,34,281,5.964226244,213,121.0057919,0.626930769,7.8,61.48829431,Poor
143,,"13°08'29""","79°36'40""",24-05-2010,384.519457,13.17692308,68,35,108,5.964226244,181,121.0057919,0.626930769,8.4,64.51950282,Poor
144,,"13°11'19""","79°39'18""",25-05-2010,384.519457,13.17692308,42,4,37,5.964226244,46,121.0057919,0.626930769,8.5,62.85675591,Poor
145,,"12°56'30""","79°08'00""",26-05-2010,384.519457,13.17692308,52,13,92,5.964226244,103,121.0057919,0.626930769,8.8,65.46932237,Poor
146,,"12°55'00""","79°12'00""",27-05-2010,384.519457,13.17692308,40,11,131,5.964226244,113,121.0057919,0.626930769,8,60.40840633,Poor
147,,"12°58'50""","79°39'00""",28-05-2010,384.519457,13.17692308,36,33,288,5.964226244,323,121.0057919,0.626930769,8.6,65.71993995,Poor
148,,"12°56'12""","79°35'35""",29-05-2010,384.519457,13.17692308,104,30,191,5.964226244,262,121.0057919,0.626930769,8.9,68.06989115,Poor
149,,"12°53'27""","79°30'50""",30-05-2010,384.519457,13.17692308,66,21,150,5.964226244,241,121.0057919,0.626930769,8.5,64.53227615,Poor
150,,"12°52'43""","79°27'32""",31-05-2010,384.519457,13.17692308,52,17,117,5.964226244,142,121.0057919,0.626930769,8.8,65.77383752,Poor
151,,"12°50'40""","79°06'40""",01-06-2010,384.519457,13.17692308,94,39,39,5.964226244,89,121.0057919,0.626930769,8.1,63.00787771,Poor
152,,"12°56'40""","78°52'10""",02-06-2010,384.519457,13.17692308,38,45,154,5.964226244,174,121.0057919,0.626930769,7.6,59.82433157,Poor
153,,"12°29'00""","78°34'20""",03-06-2010,384.519457,13.17692308,34,26,117,5.964226244,110,121.0057919,0.626930769,8.7,65.34182336,Poor
154,,"12°47'35""","78°53'00""",04-06-2010,384.519457,13.17692308,36,45,94,5.964226244,43,121.0057919,0.626930769,8,61.95681843,Poor
155,,"12°53'20""","78°46'00""",05-06-2010,384.519457,13.17692308,22,22,58,5.964226244,36,121.0057919,0.626930769,8.7,64.76174885,Poor
156,,"12°59'45""","78°54'40""",06-06-2010,384.519457,13.17692308,16,33,124,5.964226244,53,121.0057919,0.626930769,9.2,68.44830966,Poor
157,,"13°01'50""","78°10'48""",07-06-2010,384.519457,13.17692308,22,23,127,5.964226244,78,121.0057919,0.626930769,9,66.82985008,Poor
158,,"12°56'33""","79°11'49""",08-06-2010,384.519457,13.17692308,80,24,39,5.964226244,64,121.0057919,0.626930769,7.8,60.17568464,Poor
159,,"12°50'38""","78°55'49""",09-06-2010,384.519457,13.17692308,36,77,205,5.964226244,206,121.0057919,0.626930769,8.8,68.91409105,Poor
160,,"12°51'54""","79°03'43""",10-06-2010,384.519457,13.17692308,64,41,400,5.964226244,355,121.0057919,0.626930769,8.6,66.77938754,Poor
161,,"12°47'26""","79°05'09""",11-06-2010,384.519457,13.17692308,44,40,62,5.964226244,46,121.0057919,0.626930769,8.3,63.57955731,Poor
162,,"12°45'15""","79°09'18""",12-06-2010,384.519457,13.17692308,76,67,108,5.964226244,170,121.0057919,0.626930769,8,63.83568576,Poor
163,,"12°55'05""","79°03'00""",13-06-2010,384.519457,13.17692308,84,43,168,5.964226244,280,121.0057919,0.626930769,8.2,64.17541677,Poor
164,,"12°42'17""","78°48'58""",14-06-2010,384.519457,13.17692308,24,49,67,5.964226244,57,121.0057919,0.626930769,9,68.06270393,Poor
165,,"13°07'50""","79°15'35""",15-06-2010,384.519457,13.17692308,142,69,28,5.964226244,465,121.0057919,0.626930769,8,65.06338961,Poor
166,,"13°06'25""","79°25'25""",16-06-2010,384.519457,13.17692308,96,29,122,5.964226244,170,121.0057919,0.626930769,8.2,63.38917822,Poor
167,,"12°54'10""","79°26'30""",17-06-2010,384.519457,13.17692308,58.75113122,61,235,5.964226244,189.0329095,121.0057919,0.626930769,7.8,62.33683873,Poor
168,,"12°57'30""","79°17'00""",18-06-2010,384.519457,13.17692308,48,38,127,5.964226244,78,121.0057919,0.626930769,8,61.86751439,Poor
169,,"13°05'02""","79°43'10""",19-06-2010,384.519457,13.17692308,56,56,244,5.964226244,369,121.0057919,0.626930769,8,63.50090143,Poor
170,,"13°02'23""","79°40'06""",20-06-2010,384.519457,13.17692308,28,29,133,5.964226244,71,121.0057919,0.626930769,8,61.12734929,Poor
171,,"13°08'56""","79°42'17""",21-06-2010,384.519457,13.17692308,40,33,191,5.964226244,99,121.0057919,0.626930769,8.1,62.25819031,Poor
172,,"13°08'29""","79°36'40""",22-06-2010,384.519457,13.17692308,38,35,71,5.964226244,113,121.0057919,0.626930769,8.5,64.55813846,Poor
173,,"13°11'19""","79°39'18""",23-06-2010,384.519457,13.17692308,48,16,35,5.964226244,53,121.0057919,0.626930769,8,60.51693646,Poor
174,,"12°56'30""","79°08'00""",24-06-2010,384.519457,13.17692308,44,21,99,5.964226244,85,121.0057919,0.626930769,7.8,59.66521285,Poor
175,,"12°55'00""","79°12'00""",25-06-2010,384.519457,13.17692308,32,20,147,5.964226244,131,121.0057919,0.626930769,8,60.81791746,Poor
176,,"12°58'50""","79°39'00""",26-06-2010,384.519457,13.17692308,80,38,285,5.964226244,323,121.0057919,0.626930769,8.2,64.14186403,Poor
177,,"12°56'12""","79°35'35""",27-06-2010,384.519457,13.17692308,50,34,131,5.964226244,252,121.0057919,0.626930769,8.6,65.57175658,Poor
